Name,Appearance,Homeworld,Species,Gender,Affiliation,Alliance,File_Name
Weazel,[1],['Tatooine'],['Human'],['Male'],"['Hutt Clan', 'Cloud-Riders']",,Weazel
Jaiyna Sibinth,[9],[],['Human'],['Female'],[],,Jaiyna Sibinth
Orrimaarko,[6],[],['Dressellian'],['Male'],"['Alliance to Restore the Republic', 'Resistance']",Good,Orrimaarko
Sturg Ganna,[8],"[""Sturg Ganna's homeworld""]",['Whippomorn'],['Male'],[],,Sturg Ganna
Ugloste,[5],[],['Ugnaught'],['Male'],[],,Ugloste
R5-M2,[5],[],['Droid'],[],['Alliance to Restore the Republic'],Good,R5-M2
Lor San Tekka,[7],[],['Human'],['Male'],"['Church of the Force', 'New Republic', 'Resistance']",Good,Lor San Tekka
Yané,[1],['Naboo'],['Human (Naboo)'],['Female'],"['Royal House of Naboo', 'Naboo Royal Handmaidens', 'Naboo resistance', 'Galactic Republic']",Good,Yané
Wizzich Mozzer,[9],[],['Cyclorrian'],['Male'],['Resistance'],Good,Wizzich Mozzer
Zorii Bliss,[9],['Kijimi'],['Human'],['Female'],"['Spice Runners of Kijimi', ""Citizens' Fleet""]",,Zorii Bliss
Bail Prestor Organa,"[2, 3, 4, 8]",['Alderaan'],['Human (Alderaanian)'],['Male'],"['Elder Houses', 'House of Organa', 'Galactic Republic', 'Committee for transportation of construction materials', 'Loyalist Committee', 'Delegation of 2,000', 'Galactic Empire', 'Imperial Senate', ""Bail Organa's resistance movement"", 'Alliance to Restore the Republic', 'Alliance High Command', 'Alliance Civil Government']",Good,Bail Prestor Organa
Dobbu Scay,[8],[],[],['Male'],[],,Dobbu Scay
Opula Deget,[3],[],[],['Female'],[],,Opula Deget
Saesee Tiin,"[1, 2, 3]",['Iktotch'],['Iktotchi'],['Male'],"['Jedi Order', 'Jedi High Council', 'Jedi assault team', 'Galactic Republic', 'Grand Army of the Republic']",Jedi,Saesee Tiin
Worm,"[6, 7, 9]",[],[],[],[],,Worm
OL701,[5],[],['Human'],[],"['Galactic Empire', 'Death Squadron', 'Imperial Starfighter Corps']",,OL701
R0 astromech,[7],[],['Droid'],[],['Resistance'],Good,R0 astromech
Vanbec Recliva,[9],[],['Kessurian'],['Female'],[],,Vanbec Recliva
Strono Tuggs,[7],['Takodana'],['Artiodac'],['Male'],"['Takodana Castle', 'Docking Bay 7 Food and Cargo']",,Strono Tuggs
Tann Gella,[1],['Ryloth'],"[""Twi'lek (Rutian)""]",['Female'],[],,Tann Gella
Thamm,[8],['Troglofa'],['Troglof'],['Male'],['Canto Casino and Racetrack'],,Thamm
Crag,[4],['Kamino'],['Human (clone)'],['Male'],"['Galactic Empire', 'Foot Patrol 7']",,Crag
Hogan Tinmar,[1],['Naboo'],['Human (Naboo)'],['Male'],"['Royal House of Naboo', 'Royal Naboo Security Forces']",,Hogan Tinmar
CC-1138,[3],['Kamino'],['Human (clone)'],['Male'],"['Galactic Republic', '21st Nova Corps', 'Galactic Empire']",Good,CC-1138
Beru Whitesun Lars,"[2, 3, 4]",['Tatooine'],['Human'],['Female'],['Lars family'],,Beru Whitesun Lars
Nevar Yalnal,[4],[],['Ranat'],[],[],,Nevar Yalnal
Ryle Torsin,[4],[],['Human'],['Male'],"['Alliance to Restore the Republic', 'Gold Squadron']",Good,Ryle Torsin
D-O,[9],[],[],['Masculine programming'],"['Sith Eternal', 'Resistance']",Good,D-O
Wioslea,[4],['Tatooine'],['Vuvrian'],['Female'],[],,Wioslea
B-U4D,"[7, 8]",[],['Droid'],['Masculine programming'],"['Resistance', 'Resistance ground crew']",Good,B-U4D
Cassy Algara,[9],[],['Human'],['Female'],"['Resistance', 'Exegol landing team']",Good,Cassy Algara
Elan Sel'Sabagno,[2],[],['Balosar'],['Male'],[],,Elan Sel'Sabagno
Theron Nett,[4],[],['Human'],['Male'],"['Alliance to Restore the Republic', 'Red Squadron']",Good,Theron Nett
Jeyo Garanam,[9],[],['Human'],['Male'],"['Resistance', 'Resistance Starfighter Corps']",Good,Jeyo Garanam
Carid Tamb,[9],[],['Human'],['Male'],"['First Order', 'First Order Navy']",Evil,Carid Tamb
Unidentified wampa,[5],['Hoth'],['Wampa'],['Male'],"[""Unidentified wampa's clan""]",,Unidentified wampa
Elyhek Rue,[4],['Brentaal IV'],['Human'],['Male'],"['Alliance to Restore the Republic', 'Red Squadron']",Good,Elyhek Rue
Houjix,"[4, 7, 9]",[],[],[],[],,Houjix
Leektar,[6],['Endor'],['Ewok'],[],"['Alliance to Restore the Republic', 'Bright Tree tribe']",Good,Leektar
Roggwart,[7],['Mustafar'],[],[],[],,Roggwart
LEP servant droid,[7],[],['Droid'],[],"['Confederacy of Independent Systems', 'Galactic Republic', 'Galactic Empire']",Good,LEP servant droid
Razoo Qin-Fee,[7],['Nar Kanji'],['Human'],['Male'],['Kanjiklub'],,Razoo Qin-Fee
Greater krayt dragon,[4],['Tatooine'],[],[],[],,Greater krayt dragon
Gauron Nas Tal,[6],[],['Saurin'],[],"[""Jabba Desilijic Tiure's criminal empire""]",,Gauron Nas Tal
Arven Wendik,[1],[],['Human'],['Male'],"['Royal Naboo Security Forces', 'Bravo Squadron']",,Arven Wendik
2BB-2,[8],[],['Droid'],['Masculine programming'],['Resistance'],Good,2BB-2
Darth Plagueis,[3],[],['Muun'],['Male'],['Sith'],Sith,Darth Plagueis
Tauntaun,"[5, 6]",['Hoth'],[],[],[],,Tauntaun
Wolentic Dudge,[9],[],[],[],[],,Wolentic Dudge
Aurra Sing,[1],['Nar Shaddaa'],['Palliduvan'],['Female'],"['Jedi Order', ""Cad Bane's group"", 'Hutt Clan', ""Krayt's Claw""]",Jedi,Aurra Sing
Slowen Lo,[8],['Cantonica'],['Abednedo'],['Male'],[],,Slowen Lo
Seboca,[2],['Malastare'],['Dug'],['Male'],[],,Seboca
Shadday Potkin,[3],[],['Human'],['Female'],"['Jedi Order', 'Galactic Republic']",Jedi,Shadday Potkin
Tedn Dahai,[4],['Bith'],['Bith'],[],"[""Figrin D'an and the Modal Nodes""]",,Tedn Dahai
Min Sakul,[7],[],['Human'],['Female'],['Resistance'],Good,Min Sakul
Rat,[6],"['Corellia', 'Coruscant', 'Tatooine']",[],[],[],,Rat
Masir Trach,[9],[],['Human'],['Male'],"['First Order', 'First Order Navy']",Evil,Masir Trach
Kurksel Gartfran,[9],[],['Human'],['Male'],['Resistance'],Good,Kurksel Gartfran
Omalin Fisker,[7],[],['Human'],['Female'],[],,Omalin Fisker
Divis Scaldz,[7],[],['Human'],['Male'],[],,Divis Scaldz
Lufa Danak,[1],[],['Neimoidian'],[],"['Galactic Republic', 'Galactic Senate', 'Trade Federation']",Good,Lufa Danak
Ki-Adi-Mundi,"[1, 2, 3]",['Cerea'],['Cerean'],['Male'],"['Jedi Order', 'Jedi High Council', 'Jedi assault team', 'Galactic Republic', ""CC-1993's battalion"", '21st Nova Corps']",Jedi,Ki-Adi-Mundi
Barrow Oicunn,[3],[],['Human'],['Male'],"['Galactic Republic', 'Galactic Republic Navy', 'Galactic Empire', ""Imperial Navy's officer corps""]",Good,Barrow Oicunn
Sentry droid,"[7, 9]",[],[],[],[],,Sentry droid
Scurrier,"[2, 4]",['Tatooine'],[],[],[],,Scurrier
Tig,[5],[],['Human'],['Female'],"['Galactic Empire', ""Deena Lorn's fireteam""]",,Tig
Clyss Power,"[7, 8, 9]",[],[],[],"['Galactic Empire', 'Imperial Navy', 'Imperial Officer Corps']",,Clyss Power
Gatha Elbaphay,[8],[],['A sentient species'],[],[],,Gatha Elbaphay
Nandan Roty,[8],[],['Human'],['Male'],['Canto Bight Police Department'],,Nandan Roty
Dex Tiree,[4],['Onderon'],['Human (Onderonian)'],['Male'],"['Alliance to Restore the Republic', 'Gold Squadron']",Good,Dex Tiree
Ronto,"[1, 4, 9]",['Tatooine'],[],[],[],,Ronto
Oma Tres,[9],[],['Human'],['Male'],[],,Oma Tres
Ric Olié,[1],['Naboo'],['Human (Naboo)'],['Male'],"['Royal House of Naboo', 'Royal Naboo Security Forces', 'Bravo Flight', 'Amidalans']",,Ric Olié
Wes Janson,[5],['Taanab'],['Human'],['Male'],"['Alliance to Restore the Republic', 'Red Squadron', 'Rogue Squadron']",Good,Wes Janson
Nastia Unamo,[7],[],['Human'],['Female'],"['First Order', 'First Order military']",Evil,Nastia Unamo
Suba (lieutenant),[5],[],['Human'],['Male'],"['Galactic Empire', 'Death Squadron', ""Imperial Navy's officer corps""]",,Suba (lieutenant)
Nozzo Naytaan,[4],['Corellia'],['Human'],['Male'],"['Corellian Engineering Corporation', 'Alliance to Restore the Republic', 'Red Squadron']",Good,Nozzo Naytaan
Boolio,[9],['Sinta IV'],['Ovissian'],['Male'],"['Resistance', 'Sinta Glacier Colony']",Good,Boolio
Davin Felth,[4],[],['Human'],['Male'],"['Galactic Empire', 'Stormtrooper Corps']",,Davin Felth
Will Scotian,[5],[],['Human'],['Male'],"['Alliance to Restore the Republic', 'Red Squadron']",Good,Will Scotian
Pa Dua,"[1, 2]",[],['Rodian'],[],"['Galactic Republic', 'Galactic Senate']",Good,Pa Dua
Moden Canady,[8],[],['Human'],['Male'],"['Galactic Empire', ""Imperial Navy's officer corps"", 'First Order', 'First Order Navy']",Evil,Moden Canady
Spennie,[8],['Coruscant'],[],['Female'],"['Resistance', 'Cobalt Squadron']",Good,Spennie
Kesin Ommis,[5],[],[],[],"['Alliance to Restore the Republic', 'Rogue Squadron']",Good,Kesin Ommis
Venalo Wintz,[7],[],[],['Male'],[],,Venalo Wintz
Peko-peko,[1],['Naboo'],[],[],[],,Peko-peko
Auk-Waimanu,[8],['Ahch-To'],['Lanai'],['Male'],['Visitors'],,Auk-Waimanu
R3-A2,[5],[],['Droid'],[],['Alliance to Restore the Republic'],Good,R3-A2
Sebulba,[1],['Malastare'],['Dug'],['Male'],[],,Sebulba
Baskol Yeesrim,[1],['Malastare'],['Gran'],[],"['Gran Protectorate', 'Galactic Republic', 'Malastare delegation']",Good,Baskol Yeesrim
Khaat Qiyn,[2],[],['Human'],['Female'],"['Jedi Order', 'Jedi assault team', 'Galactic Republic']",Jedi,Khaat Qiyn
ASN-121,[2],[],['Droid'],[],['Zam Wesell'],,ASN-121
Unidentified rebel (Echo Base),[5],[],['Human'],['Male'],[],,Unidentified rebel (Echo Base)
Vexis,[9],['Pasaana'],[],[],[],,Vexis
R2-N3,[1],[],['Droid'],[],['Royal House of Naboo'],,R2-N3
Letrun Pay,[8],[],[],['Male'],['Sacred Circle'],,Letrun Pay
Jabba's bartender,[6],[],['Droid'],['Masculine programming'],"[""Jabba Desilijic Tiure's criminal empire""]",,Jabba's bartender
Dewback,"[1, 4]","['Tatooine', '']",[],[],[],,Dewback
Happabore,[7],"['Devaron', 'Jakku']",[],[],[],,Happabore
Teckla Minnau,[2],['Naboo'],['Human (Naboo)'],['Female'],"['Royal House of Naboo', 'Naboo Royal Handmaidens', 'Galactic Republic']",Good,Teckla Minnau
Jekoon,[8],[],[],[],[],,Jekoon
Kaplan (colonel),[7],[],['Human'],['Male'],"['First Order', 'First Order military']",Evil,Kaplan (colonel)
Jango Fett,[2],['Concord Dawn'],['Human'],['Male'],"['Mandalorians', 'Fetts', 'Galactic Republic', 'Confederacy of Independent Systems']",Good,Jango Fett
Kes Dameron,[6],[],['Human'],['Male'],"['Alliance to Restore the Republic', 'Special Forces Trackers Unit', 'Endor strike team', 'New Republic']",Good,Kes Dameron
Seleno Chandro,[9],[],[],['Male'],"[""Bounty Hunters' Guild"", ""Citizens' Fleet""]",,Seleno Chandro
R2-Q5,[6],[],['Droid'],['Masculine programming'],['Galactic Empire'],,R2-Q5
Pelikki,"[1, 2]",['Naboo'],[],[],[],,Pelikki
Brun Obatsun,[8],[],[],[],"['First Order', 'First Order military']",Evil,Brun Obatsun
Zephee,[6],['Endor'],['Ewok'],['Female'],['Bright Tree tribe'],,Zephee
R-series,"[7, 8, 9]",[],[],[],[],,R-series
Sosear Latta,[8],[],['Unidentified species'],[],[],,Sosear Latta
Delta Leader (Exegol),[9],[],[],[],"['Resistance', 'Resistance Starfighter Corps', 'Exegol air team']",Good,Delta Leader (Exegol)
Sateen Vestswe,[3],['Alderaan'],['Human (Alderaanian)'],['Male'],"['Royal House of Alderaan', 'Galactic Republic', 'Alderaanian delegation']",Good,Sateen Vestswe
Thadlé Berenko,[7],['Naboo'],['Human (Naboo)'],['Female'],"['New Republic', 'Galactic Senate']",Good,Thadlé Berenko
Bom Vimdin,[4],['Riflor'],['Advozse'],['Male'],[],,Bom Vimdin
Horace Vancil,[1],['Naboo'],"['Human', ' (Naboo)']",['Male'],"['Royal House of Naboo', 'Naboo Royal Advisory Council']",,Horace Vancil
Mawhonic,[1],['Hok'],['Gran'],['Male'],[],,Mawhonic
Bossk'wassak'Cradossk,"[5, 6]",['Trandosha'],['Trandoshan'],['Male'],"[""Bounty Hunters' Guild"", ""Krayt's Claw"", 'A Trandoshan posse', 'Galactic Empire (as a mercenary)', ""T'onga's crew""]",,Bossk'wassak'Cradossk
Fingerlip garpon,[8],"['Ahch-To', 'Corellia']",[],[],[],,Fingerlip garpon
3464,[2],[],['Droid'],['Masculine programming'],"['Confederacy of Independent Systems', 'Geonosian droid army']",,3464
Rancor,[6],"['Dathomir', 'Also present on:Felucia', 'Tatooine', 'Vodran']",[],[],[],,Rancor
Ann Gella,[1],['Ryloth'],"[""Twi'lek (Rutian)""]",['Female'],[],,Ann Gella
Amilyn Holdo,"[8, 9]",['Gatalenta'],['Human'],['Female'],"['Galactic Empire', 'Apprentice Legislature', 'Alliance to Restore the Republic', 'Alliance Civil Government', 'Rebel Alliance Navy', 'Resistance', 'Fleet Command']",Good,Amilyn Holdo
Allie Samta,[9],[],['Human'],['Female'],"['Resistance', 'Resistance army', 'Resistance Starfighter Corps']",Good,Allie Samta
Vine snake,[5],['Dagobah'],[],[],[],,Vine snake
IT-000-XZ 1594,[7],[],['Droid'],[],['First Order'],Evil,IT-000-XZ 1594
Eeth Koth,"[1, 2]",['Iridonia'],['Zabrak (Iridonian)'],['Male'],"['Jedi Order', 'Jedi High Council', 'Jedi assault team', 'Galactic Republic', 'Grand Army of the Republic', 'Church of the Ganthic Enlightenment']",Jedi,Eeth Koth
Unidentified male bar patron 5,[7],[],['Human'],['Male'],[],,Unidentified male bar patron 5
Steelpecker,[7],['Jakku'],[],[],[],,Steelpecker
Maoi Madakor,[1],[],['Human'],['Female'],"['Galactic Republic', 'Judicial Forces']",Good,Maoi Madakor
Garouf Lafoe,[4],[],['Human'],['Male'],[],,Garouf Lafoe
Derla Pidys,[8],[],"[""Derla Pidys' species""]",['Female'],[],,Derla Pidys
Lava flea,[3],['Mustafar'],[],[],[],,Lava flea
